competence_programmation,competence_math,competence_physique,competence_electronique,competence_mecanique,competence_chimie,interet_aviation,interet_informatique,interet_donnees,interet_securite,interet_robotique,interet_energie,interet_cartographie,interet_automobile,trait_analytique,trait_creatif,trait_rigoureux,trait_aventureux,trait_methodique,moyenne_math,moyenne_physique,moyenne_informatique,moyenne_generale,filiere_cible
5,4,4,5,5,3,5,6,5,6,7,7,3,8,5,5,3,8,4,12.792832720284165,13.701051352199212,8.233612374185586,12.41008530960168,Cybersécurité
3,3,6,2,4,6,6,6,5,5,7,4,3,7,2,7,7,6,6,10.094363420943274,8.680021512042082,12.284999373068475,12.433199201804088,Maintenance Automobile
4,4,8,7,4,6,4,4,5,4,7,5,8,7,6,6,4,4,5,11.543193974197514,13.079772344351921,11.22283400406723,8.549315118130567,Pétrochimie
4,6,6,7,6,6,7,7,4,2,6,4,7,7,2,5,8,4,4,8.17944986719588,11.002283780021457,11.96016788131541,11.872291338523874,Objets Connectés (IoT)
10,6,6,4,5,2,3,7,4,3,8,2,5,4,6,3,6,5,8,9.055909326447242,13.668279014115832,17.636878043568856,9.410097144961968,Génie Logiciel
4,2,6,7,7,8,6,5,5,2,6,7,7,3,5,4,6,7,4,11.965066267697605,11.357223610124867,12.620685194045553,12.854723134120377,Cybersécurité
7,8,8,2,2,4,4,7,7,6,5,5,5,5,3,7,5,6,7,12.965356614169236,9.10950961237681,13.594231146683049,13.099313226326599,Génie Logiciel
3,4,6,3,5,4,6,8,2,7,4,6,2,5,3,7,7,6,8,10.032339160417907,10.984236182790392,12.317102598852168,10.246623373338346,Pétrochimie
7,6,3,7,6,5,5,10,8,4,5,5,5,7,5,6,6,5,6,13.729903168505714,9.525788668088325,14.81345168965988,12.819248301180085,Génie Logiciel
8,7,4,2,3,3,6,6,2,6,4,5,8,5,6,7,4,4,6,8.017940488102866,12.186924817194239,16.929751371633596,12.486663585925305,Intelligence Artificielle
5,6,6,2,8,3,6,6,4,5,4,3,7,5,5,5,7,4,3,12.3421119343782,11.172363122847013,13.991020175403577,9.063651507795702,Topographie
8,3,5,4,6,7,6,7,7,6,4,5,2,7,6,6,2,2,6,8.81944881502096,9.178807168139144,9.836357542549273,9.962695691181839,Cybersécurité
